0,project_id,cost,category,votes,name,target,selected
1,38,313000,"environmental protection,public space,urban greenery",1464,Więcej drzew i krzewów dla Pragi,"children,youth,adults,seniors,people with disabilities",1
2,34,432000,"public transit and roads,environmental protection,public space",1435,Zielone ściany i mniej betonu dla Pragi,"children,youth,adults,seniors,people with disabilities",1
3,1342,49900,environmental protection,1179,"Chronimy ptaki, wiewiórki, nietoperze i owady zapylające na Pradze Północ-konserwacja i zawieszanie skrzynek lęgowych, zimowe dokarmianie ptaków, utrzymanie schronień dla owadów","children,youth,adults,seniors",1
4,268,100500,"environmental protection,public space",1116,Praski eko-butelkomat,"children,youth,adults,seniors,people with disabilities",1
5,155,31500,"education,environmental protection,public space",1084,Ratujmy praskie kasztanowce - kontynuacja,"children,youth,adults,seniors,people with disabilities",1
6,365,77000,"public transit and roads,environmental protection,public space",989,Nowa Zielona Praga,"children,youth,adults,seniors,people with disabilities",1
7,36,144500,"education,public transit and roads,environmental protection",941,Zielone podwórka dla Pragi,"children,youth,adults,seniors,people with disabilities",1
8,49,98100,"public transit and roads,public space",888,Nowe nasadzenia i ławki na Placu Wileńskim,"children,youth,adults,seniors,people with disabilities",1
9,410,430000,"education,public space,sport",862,Plac zabaw na Placu Hallera,"children,youth,adults",1
10,1301,174000,"public transit and roads,public space",854,Poprawa bezpieczeństwa pieszych na praskich przejściach,"children,youth,people with disabilities",1
11,1283,430000,"environmental protection,public space,urban greenery",844,Tężnia na Białostockiej. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
12,732,65500,"public space,sport",835,Nowe ławeczki nad Wisłą,"children,youth,adults,seniors,people with disabilities",1
13,71,431860,"environmental protection,public space,urban greenery",777,Praski ekopark,"children,youth,adults,seniors,people with disabilities",0
14,1879,325000,"public transit and roads,public space",717,Remont chodnika przy ul. Ratuszowej,"children,youth,adults,seniors,people with disabilities",0
15,45,104000,"education,environmental protection,public space",701,Ogrody sąsiedzkie dla Pragi,"children,youth,adults,seniors,people with disabilities",1
16,47,95000,"education,culture,public space",692,Mobilne kino plenerowe dla Pragi,"children,youth,adults,seniors,people with disabilities",1
17,1284,250000,"public space,sport,urban greenery",656,Park Trampolin w Jordanku. Kocham Pragę,"children,youth,adults,seniors",0
18,1969,430000,"public space,sport",640,Skatepark. Kocham Pragę,"children,youth,adults",0
19,1202,167500,"education,sport,health",619,Modernizacja sali gimnastycznej Szkoły Podstawowej nr 258 filia Namysłowska,"children,youth,adults,seniors",0
20,2113,50913,"education,public transit and roads,public space",614,Zegar spotkań na placu Wileńskim,"children,youth,adults,seniors,people with disabilities",0
21,1105,432119,"public space,sport",568,Skatepark na Pradze,"children,youth,adults",0
22,1217,83203,"education,public transit and roads,environmental protection",557,Zielona Brzeska - finał. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
23,1493,120200,"public transit and roads,environmental protection,public space",548,Wiaty rowerowe na Nowej Pradze,"children,youth,adults,seniors",0
24,1901,96640,"education,welfare,sport",547,Samoobrona dla dzieci i dorosłych oraz warsztaty przeciwdziałania przemocy rówieśniczej,"children,youth,adults,people with disabilities",0
25,40,430000,"culture,public space",538,Ratujmy mural Muchozol dla Pragi,"children,youth,adults,seniors,people with disabilities",0
26,2107,25000,"education,public space",536,Remont historycznego bunkra przy ul. Jasińskiego - Kocham Pragę,"children,youth,adults,seniors",1
27,1390,432150,"public transit and roads,environmental protection,public space",530,Nowoczesne podwórko - kontynuacja,"children,youth,adults,seniors,people with disabilities",0
28,1211,4900,"education,environmental protection,public space",529,Nakrętko-łapacz. Kocham Pragę,"children,youth,adults,seniors,people with disabilities",1
29,1324,110000,"public space,urban greenery",523,Rewitalizacja psiego wybiegu,"children,youth,adults,seniors,people with disabilities",0
30,654,12000,"education,environmental protection,public space",520,Wspólnie sprzątamy Nową Pragę,"children,youth,adults,seniors",1
31,2049,393000,"education,public transit and roads,public space",516,Miasteczko ruchu drogowego,"children,youth,adults,seniors,people with disabilities",0
32,1255,356795,"education,public space,sport",511,Skatepark na Pradze,"children,youth,adults,seniors,people with disabilities",0
33,43,339849,"public transit and roads,public space",505,Monitoring uliczny dla skrzyżowania ul. Ratuszowej z ul. Jagiellońską,"children,youth,adults,seniors,people with disabilities",0
34,1333,61500,"public transit and roads,public space",498,Montaż podjazdu dla wózków przy Pl. Hallera 5,"children,youth,adults,seniors,people with disabilities",0
35,1335,70000,public space,491,Świąteczna iluminacja choinki na Placu Hallera,"children,youth,adults,seniors,people with disabilities",0
36,267,9000,"education,culture",432,Robotyka dla dzieci w VII Ogrodzie Jordanowskim,"children,people with disabilities",0
37,789,81200,education,421,Pierwsza pomoc przedmedyczna dla uczniów klas 5-7 szkół podstawowych znajdujących się na terenie Dzielnicy Praga-Północ m.st. Warszawy,"children,youth",0
38,1551,430000,"education,public space,urban greenery",396,Skwer małego strażaka,children,0
39,154,12200,"education,environmental protection,public space",378,Jak i czym - kampania dotycząca dokarmiania ptaków zimą - kontynuacja,"children,youth,people with disabilities",0
40,2116,125200,"public transit and roads,public space",375,Przywróćmy latarnie gazowe na Jadowskiej - Kocham Pragę,"children,youth,adults,seniors,people with disabilities",0
41,692,24947,education,358,Musicon - nowatorskie wsparcie dzieci w terapii psychologiczno –pedagogicznej.,"children,youth,people with disabilities",0
42,1394,22500,"education,sport",349,Zumba dla dorosłych - zabawa dla dzieci. Kocham Pragę.,"children,youth,adults,seniors,people with disabilities",0
43,1819,419900,"welfare,public space,urban greenery",348,"Więcej zieleni, mniej hałasu. Osiedle Panieńska/Blaszana/Olszowa","children,youth,adults,seniors,people with disabilities",0
44,269,20100,"education,sport",340,Praskie soboty na basenie - aqua aerobic,"children,youth,adults,seniors",0
45,1112,50000,"education,culture",337,Przedszkolak w Bibliotece. Kocham Pragę,children,0
46,1137,420000,sport,315,"Boisko wielofunkcyjne (koszykówka, piłka nożna, tenis ziemny) Łochowska 34","children,youth,adults",0
47,1579,430000,"public space,urban greenery",287,Skwer poszukiwaczy złotych monet przy Markowskiej,"children,youth,adults,seniors,people with disabilities",0
48,261,23600,"sport,health",278,Wzmocnij kręgosłup - gimnastyka rehabilitacyjna w wodzie,"youth,adults,seniors,people with disabilities",0
49,1319,181000,"public space,sport",275,Remont sali sportowej na praskim Orliku,"children,youth,adults,seniors,people with disabilities",0
50,265,100800,public space,273,Remont chodnika na odcinku Rondo Starzyńskiego - przystanek Golędzinów,"children,youth,adults,seniors,people with disabilities",0
51,326,130000,"education,culture,public space",264,Przyjazna Biblioteka na Golędzinowie,"children,youth,adults,seniors,people with disabilities",0
52,1199,8930,"education,sport,health",232,Ćwiczę z mamą i tatą - sportowe soboty. Kocham Pragę,"children,adults",0
53,374,13500,"education,culture,welfare",214,Klub Małego Pisarza – całoroczny cykl warsztatów pisarskich dla dzieci,"children,families with children",0
54,270,20000,"education,sport",208,Tańczyć każdy może - nauka tańca dla dzieci i dorosłych,"children,adults",0
55,262,210500,"public space,urban greenery",201,Zielony i funkcjonalny Golędzinów,"children,adults,seniors,people with disabilities",0
56,1147,68800,sport,200,Siłownia plenerowa Al. Tysiąclecia 151,"children,youth,adults",0
57,266,50000,"education,public transit and roads,public space",182,Zwiększenie bezpieczeństwa pieszych i rowerzystów - kampania edukacyjna,"children,youth,adults",0
58,661,350000,public space,148,Mural na hali garażowej ZGN,"children,youth,adults,seniors",0
59,1496,80000,"education,culture,public space",143,Praski festiwal muzyki patriotycznej,"children,youth,adults,seniors,people with disabilities",0
