0,project_id,cost,category,votes,name,target,selected
1,292,67000,"education,culture",733,Zakup książek do rembertowskiej biblioteki,"children,youth,adults,seniors,people with disabilities",1
2,1353,165000,"education,culture,sport",719,Sport i kultura dla każdego. Modernizacja sali gimnastycznej na Ziemskiego,"children,youth,adults,seniors",1
3,835,41000,culture,636,Rembertowskie kino pod gwiazdami,"children,youth,adults,seniors,people with disabilities",1
4,885,7200,"welfare,public space",635,Zakup defibrylatora AED,"children,youth,adults,seniors,people with disabilities",1
5,1635,137500,"education,public transit and roads,public space",590,Bezpieczna droga do szkoły SP 217 - doświetlenie przejścia dla pieszych Paderewskiego-Kaletnicza i przesunięcie przystanku Szafarzy 02,"children,youth,adults,seniors,people with disabilities",1
6,1628,121000,"education,public transit and roads,public space",520,Bezpieczna droga do szkoły podstawowej 217 - doświetlenie przejść dla pieszych przy ul. Paderewskiego i wyznaczenie nowego przejścia Kordiana-Paderewskiego,"children,youth,adults,seniors,people with disabilities",1
7,295,33200,"education,culture",475,Całodobowa wrzutnia książek przy bibliotece (ul. Gawędziarzy 8),"children,youth,adults,seniors,people with disabilities",1
8,1407,10500,"environmental protection,urban greenery",474,Budki dla ptaków,"children,youth,adults,seniors,people with disabilities",1
9,2184,38000,"education,culture",473,"Rodzinne pikniki, plenery i imprezy na świeżym powietrzu","children,youth,adults,seniors,people with disabilities",1
10,1715,165868,"education,sport",466,Poprawa wyposażenia zespołu boisk przy SP 217,"children,youth,adults",1
11,2098,109000,public space,443,Świąteczne iluminacje - choinka na Boże Narodzenie,"children,youth,adults,seniors,people with disabilities",0
12,293,75000,"education,culture",423,Organizacja wydarzeń kulturalnych i edukacyjnych w rembertowskiej bibliotece,"children,youth,adults,seniors,people with disabilities",0
13,294,24500,"education,culture",416,Rembertowski uniwersytet dziecięcy,children,1
14,672,166075,"environmental protection,public space,urban greenery",408,Podlewanie drzew posadzonych w latach 2018-2019 w ramach programu Milion drzew dla Warszawy i budżetu partycypacyjnego w Dzielnicy Rembertów,"children,youth,adults,seniors,people with disabilities,animals",0
15,1517,26100,"education,public transit and roads,culture",362,Nasadzenia krzewów ozdobnych wzdłuż ścieżki rowerowej ul. Zesłańców Polskich,"children,youth,adults,seniors,people with disabilities",0
16,919,11700,"education,culture",362,Warsztaty z robotyki dla dzieci,children,1
17,862,151000,culture,361,Koncertowy Rembertów,"children,youth,adults,seniors,people with disabilities",0
18,1091,36350,"public transit and roads,public space",350,60 m chodnika na ul. Kadrowej od nr 59 do ul. Zygmuntów,None,0
