0,project_id,cost,category,votes,name,target,selected
80,1130,296500,"public space,urban greenery",102,Zielone i funkcjonalne osiedle Golędzinów,"children,youth,adults,seniors,people with disabilities",0
81,1149,13165,"education,culture,environmental protection",99,Dosadzenie i wymiana zieleni w miejscach pamięci narodowej,"children,youth,adults,seniors,people with disabilities",0
82,1282,13800,sport,97,Nordic walking na warszawskiej Pradze-Północ,"children,youth,adults,seniors",0
83,1245,35000,"education,culture,public space",94,Tablica upamiętniająca Stefana Starzyńskiego,"children,youth,adults,seniors,people with disabilities",0
84,285,50000,"public transit and roads,public space,sport",93,Wiaty rowerowe przy obiektach DOSiR,"children,youth,adults",0
85,1128,11500,"education,sport",77,Treningi obwodowe DOSiR Jagiellońska 7,"youth,adults,seniors,people with disabilities",0
86,958,100000,"education,culture,public space",64,Koncert muzyki patriotycznej,"children,youth,adults,seniors,people with disabilities",0
87,1142,5000,"education,culture,public space",61,Tablice MSI na budynku Szkoły Podstawowej z Oddziałami Integracyjnymi nr 30 im. Powstańców 1863r. z historią budynku i wydarzeniami historycznymi,"children,youth,adults,seniors,people with disabilities",0
88,664,10180,education,54,Zadbaj o siebie i rodzinę - aktywne zajęcia dla rodziców,"adults,children",0
89,889,100000,"public space,sport",40,Ogrodzenie ochronne boiska w VII OJ,"children,youth,adults",0
90,1429,60000,education,26,Wirtualna historia techniki motoryzacyjnej,"children,youth,adults,seniors,people with disabilities",0
