0,project_id,cost,category,votes,name,target,selected
1,287,90000,"environmental protection,public space,urban greenery",4198,Gocław walczy ze smogiem. Sadzimy rośliny zimozielone,"children,youth,adults,seniors,people with disabilities",1
2,26,1150000,"education,culture,sport",3736,Budowa dużego skateparkuu na Gocławiu dla całej Pragi-Południe jako wizytówka prawej strony Wisły,"children,youth,adults,seniors",1
3,49,2000,environmental protection,3538,Domki dla jeży nad Balatonem,animals,1
4,282,35000,"environmental protection,public space,urban greenery",3231,"Nie chcesz mieć szczurów? Zadbaj o koty! – zimowe budki dla kotów wolno żyjących, sterylizacja i leczenie zwierząt z Pragi – Południe. Kontynuacja projektów z poprzednich edycji Budżetu",animals,1
5,1022,200000,environmental protection,3084,"Wielkie rozpłytowanie - więcej zieleni, mniej betonu","children,youth,adults,seniors,people with disabilities",1
6,288,10000,"environmental protection,public space,urban greenery",2954,Budki lęgowe dla drobnych owadożernych ptaków i nietoperzy. Naturalnie przeciw komarom i innym uciążliwym owadom,"children,youth,adults,seniors,people with disabilities",1
7,562,451000,"environmental protection,public space,sport",2936,"Urządzamy Park Angielski na Gocławiu i Saskiej Kępie, alejki i plac zabaw","children,youth,adults,seniors",1
8,1540,115000,"environmental protection,public space,urban greenery",2931,Ratujemy drzewa Parku Skaryszewskiego - kontynuacja,"children,youth,adults,seniors,people with disabilities",1
9,1788,284840,"public transit and roads,public space",2678,Dość moknięcia. Brakujące wiaty na przystankach autobusowych na Pradze Południe,"children,youth,adults,seniors,people with disabilities",1
10,28,350000,"education,culture,sport",2595,Pumptrack na Pradze-Południe,"children,youth,adults,seniors",1
11,1718,365000,"culture,public space,sport",2592,Plaża Gocław - strefa lokalna aktywności i sąsiedzkich spotkań,"children,youth,adults,seniors,families with children",1
12,966,710000,"public transit and roads,environmental protection,welfare",2519,Rowerowa Praga Południe - dopuszczenie ruchu dwukierunkowego dla rowerów na ulicach Grochowa Południowego i 4 ulicach Saskiej Kępy,"youth,adults,seniors",1
13,668,290000,"public space,urban greenery",2506,Bezpieczna i wygodna alejka do Parku Skaryszewskiego nad Jeziorkiem Kamionkowskim,"children,youth,adults,seniors,people with disabilities",1
14,1807,824740,"public transit and roads,public space",2372,Dość potykania się. Wyremontujmy chodniki na Grochowie i Gocławiu,"children,youth,adults,seniors,people with disabilities",1
15,2140,38000,"environmental protection,public space",2339,„Chronimy ptaki i nietoperze w parkach i w zadrzewieniach Pragi Południe oraz na brzegu Wisły w tej Dzielnicy – konserwacja oraz zawieszenie nowych skrzynek lęgowych”,adults,1
