0,project_id,cost,category,votes,name,target,selected
52,1243,34000,"public transit and roads,public space",877,Ursynów chce nowych miejsc do parkowania rowerów,"children,youth,adults,seniors",0
53,1819,3800,"public space,sport,urban greenery",859,Joga w Parku Przy Bażantarni,"children,youth,adults,seniors",0
54,1538,145000,"public transit and roads,sport",845,Bike & Ride / Zadaszone parkingi rowerowe przy metrze,"children,youth,adults,seniors",0
55,1592,220000,"public space,sport",844,Skate Park Cybisa,"children,youth,adults",0
56,1720,435000,"environmental protection,urban greenery",831,Trzy zazielenione ścianki,children,0
57,1327,660000,"public space,sport,urban greenery",821,Nowe miejsce rekreacji w otoczeniu przyrody w pobliżu metra,"children,youth,adults,seniors,people with disabilities",0
58,808,626620,"education,public space,sport",809,Remont placu zabaw dla dzieci młodszych przy SP 330 ul. Mandarynki 1 w Warszawie,"children,youth,adults,seniors,people with disabilities",0
59,1242,336600,"environmental protection,public space,urban greenery",806,Rabaty tulipanów i innych kwiatów na trawnikach wzdłuż ul. Puławskiej,"youth,adults,seniors,people with disabilities",0
60,1991,35000,"environmental protection,urban greenery",800,Zielone dachy bloków na Ursynowie - przygotowanie przewodnika dla gospodarzy budynków,None,0
61,321,125000,"public transit and roads,public space",798,Dodatkowe nasadzenia oraz miejsca postojowe przy ul. Kłobuckiej 8 i 8a,"children,youth,adults,seniors,people with disabilities",0
62,514,36800,"education,health",783,"Uważność dla dzieci - trening redukcji stresu, wspomagania koncentracji i budowania wrażliwości społecznej u dzieci w wieku 7-11 lat",children,0
63,1168,30535,"environmental protection,public space,urban greenery",751,Plac zabaw na Kajakowej - doposażenie i modernizacja placu zabaw,"children,youth,adults",0
64,2045,395000,"public transit and roads,public space",751,Przejście podziemne pod ul. Romera,"children,youth,adults,seniors,people with disabilities",0
65,1148,960000,"public transit and roads,public space",748,Remont zniszczonych poboczy ulicy Puławskiej,"children,youth,adults,seniors,people with disabilities",0
66,2097,79600,"welfare,public space",747,Ursynowskie potańcówki,"children,youth,adults,seniors,people with disabilities",0
67,1574,191780,education,744,Wiedza o życiu seksualnym człowieka - zajęcia dla klas 5-6,"children,youth",0
68,1140,700000,"public transit and roads,public space",719,Odprowadzenie wody z kałuż przy ul. Puławskiej do rowów,"children,youth,adults,seniors,people with disabilities",0
69,632,117200,"education,welfare",715,"Stop przemocy - program pomocy psychologiczno-prawnej dla dzieci, rodziców i pedagogów ze wszystkich ursynowskich szkół","children,youth,adults",0
70,1535,40000,"welfare,public space,sport",701,Ścianka wspinaczkowa w parku Lasek Brzozowy,"children,youth,adults,seniors,people with disabilities",0
71,2087,47720,sport,672,Pływalnia 50 +,seniors,0
72,1357,230000,public space,664,Wybieg dla psów,None,0
73,405,220000,"public space,sport",663,Komfortowe nawierzchnie siłowni plenerowych i urządzeń street workout na Ursynowie,"children,youth,adults,seniors",0
