0,project_id,cost,category,votes,name,target,selected
1,1011,76500,"environmental protection,urban greenery",1251,Łąki kwietne dla Pragi,"children,youth,adults,seniors,people with disabilities",1
2,1845,300000,public space,1021,Naprawa alejek parkowych w Parku Praskim,"children,youth,adults,seniors,people with disabilities",1
3,929,27000,"environmental protection,public space,urban greenery",964,Ratujmy praskie kasztanowce - kontynuacja,"children,youth,adults,seniors,people with disabilities",1
4,1800,400000,"education,public space,sport",955,Nowe atrakcje w Parku Praskim,"children,youth",1
5,1606,395000,"environmental protection,public space,urban greenery",902,Więcej zieleni 3 - dla Pragi,"children,youth,adults,seniors,people with disabilities",1
6,1469,400000,"environmental protection,public space,health",883,Tężnia solankowa na skwerze przy Floriańskiej,"children,youth,adults,seniors,people with disabilities",1
7,1577,75900,"environmental protection,public space,urban greenery",858,Zielone ściany dla Pragi,"children,adults,seniors,people with disabilities",1
8,1012,89500,urban greenery,791,Kwiaty dla Pragi,"children,youth,adults,seniors,people with disabilities",1
9,717,389200,"environmental protection,public space,urban greenery",746,Ratujmy jedyną praską aleję lipową,"children,youth,adults,seniors",1
10,1053,47640,environmental protection,713,"Chronimy ptaki, wiewiórki i owady zapylające - konserwacja i zawieszenie skrzynek lęgowych, zimowe dokarmianie ptaków, utrzymanie schronień dla owadów","children,youth,adults",0
11,2002,57500,"public transit and roads,environmental protection,public space",711,Zielona Stalowa - kontynuacja,"children,youth,adults,seniors,people with disabilities",0
12,1593,61992,"environmental protection,urban greenery",692,Woda dla praskich drzew - dla Pragi,"children,youth,adults,seniors,people with disabilities",0
13,368,377700,"environmental protection,public space,urban greenery",665,Zielony skwer sąsiedzki na Starej Pradze,"children,youth,adults,seniors,people with disabilities",0
14,373,49000,"education,environmental protection",641,Praga bez śmieci - kampania na rzecz bezodpadowej Pragi - kontynuacja,"children,adults",0
15,1546,80000,"education,culture,public space",602,Mobilne kino plenerowe dla Pragi,"children,youth,adults,seniors,people with disabilities",0
16,1010,263000,"public transit and roads,environmental protection,public space",597,Kosze na śmieci i stojaki rowerowe dla Pragi,"children,youth,adults,seniors,people with disabilities",0
17,1812,169900,"education,environmental protection,public space",586,Sąsiedzkie ogródki podwórkowe - dla Pragi,"children,adults,seniors",0
18,1552,200000,"environmental protection,public space,urban greenery",583,Rozświetlamy praskie skwery - dla Pragi,"children,youth,adults,seniors,people with disabilities",0
19,1374,423000,"environmental protection,public space,urban greenery",579,Uporządkowanie zieleni ulicznej i podwórek praskich.,None,0
20,438,165000,"education,culture",562,Czytanie jest modne – zakup nowości dla praskich mieszkańców,"children,youth,adults,seniors,people with disabilities",0
21,1709,432000,public space,556,Remont chodnika na placu Hallera,"children,youth,adults,seniors,people with disabilities",0
22,1542,420000,"education,environmental protection,public space",549,Nowe ławki w Parku Praskim – dla Pragi,"children,youth,adults,seniors,people with disabilities",0
23,1367,260000,"education,public space",537,"Podjazd dla osób niepełnosprawnych do Szkoły Podstawowej nr 258 przy ul. Brechta 8, Technikum Geologiczno- Geodezyjno- Drogowe ul. Józefa Szanajcy 5, Szkoła przy ul. Józefa Szanajcy 17/19.",people with disabilities,0
24,1142,430000,"environmental protection,public space,urban greenery",536,Zielona Stalowa,"children,adults,seniors",0
25,1858,280000,"public transit and roads,public space,sport",522,"Nowa Praga - plac zabaw na co dzień, nie od święta","children,youth,adults,seniors",0
26,918,235100,"education,culture,welfare",482,Sauna (plenerowa) miejska i nadwiślańska przestrzeń wypoczynku,"children,youth,adults,seniors,people with disabilities",0
27,1251,225342,"public space,urban greenery",480,Zielone zaplecze ul. Ząbkowskiej,"children,youth,adults,seniors,people with disabilities",0
28,1033,427000,"environmental protection,public space,urban greenery",461,Praski mini ekopark,"children,youth,adults,seniors,people with disabilities",0
29,1761,75768,"education,public transit and roads,environmental protection",460,Zielona Brzeska - bezpieczna droga do szkoły vol. 2,"children,youth,adults,seniors",0
30,1679,57500,"public transit and roads,public space,sport",450,Stojaki rowerowe na Pradze-Północ,"children,youth,adults,seniors",0
31,970,200000,"education,public space,sport",448,Miasteczko ruchu drogowego,"children,youth,adults",0
32,1147,430000,"public space,sport",438,Skatepark na Pradze,"children,youth,adults",0
33,1062,300000,sport,380,"Urządzenie ogólnie dostępnego nieodpłatnego lodowiska w rejonie ulic Korsaka, Markowskiej i Kijowskiej","children,youth,adults",0
34,1732,399000,"public transit and roads,public space",360,Remont chodnika przy ul. Ratuszowej,"children,youth,adults,seniors,people with disabilities",0
35,1484,25000,public space,359,Remont historycznego bunkra przy ul. Jasińskiego,"children,youth,adults,seniors",0
36,1496,114000,"education,sport,health",359,Modernizacja sali gimnastycznej Szkoły Podstawowej nr 258 filia Namysłowska,"children,youth,adults",0
37,1461,103700,"public transit and roads,public space",341,Przywróćmy gazowe latarnie na Jadowskiej,"children,youth,adults,seniors,people with disabilities",0
38,1453,100000,public space,335,Psi wybieg na warszawskich Szmulkach,animals,0
39,1560,100000,"education,culture,public space",332,Święta praskich ulic - dla Pragi,"children,youth,adults,seniors,people with disabilities",0
40,1175,30000,"sport,health",321,Wzmocnij kręgosłup - gimnastyka rehabilitacyjna w wodzie,"children,youth,adults,seniors",0
41,1185,28082,"education,sport,health",317,Praskie soboty na basenie - aqua aerobic,"children,youth,adults,seniors",0
42,1707,45000,sport,316,Samoobrona dla kobiet i seniorów w VII Ogrodzie Jordanowskim,seniors,0
43,1096,177300,sport,315,Sala bokserska,"children,youth,adults",0
44,428,400000,"public transit and roads,public space,urban greenery",293,Budowa oświetlenia parkowego i punktów świetlnych wzdłuż chodnika po północnej stronie ul. Jagiellońskiej na odcinku od ul. Ratuszowej do budynku pod adresem Jagiellońska 64,"children,youth,adults,seniors,people with disabilities",0
45,1153,77500,"culture,public space,urban greenery",293,Okrągły stół na Placu Wileńskim,"youth,adults,seniors",0
46,1350,45000,"education,culture",279,Zakup zestawów komputerowych dla placówek bibliotecznych przy ul. Skoczylasa 9 - Wypożyczalnia nr 41 i Czytelnia Naukowa nr X,"youth,adults,seniors,people with disabilities",0
47,2007,90000,"education,public space",277,Mural upamiętniający sylwetkę i Fabrykę Karola Mintera,"children,youth,adults,seniors,people with disabilities",0
48,267,359000,"public transit and roads,environmental protection,public space",264,Poprawa bezpieczeństwa w ruchu drogowym i pieszym na ulicy Józefa Szanajcy,None,0
49,273,28800,education,264,Zabawy i techniki relaksacyjne dla dzieci i młodzieży (cykl zajęć dla dzieci w szkołach i przedszkolach),"children,youth",0
50,1372,350000,environmental protection,264,Zainstalowanie klimatyzacji w filiach Biblioteki Publicznej im. Ks. J. Twardowskiego,"children,youth,adults,seniors,people with disabilities",0
51,1192,9000,"education,culture",260,Robotyka dla dzieci w VII Ogrodzie Jordanowskim,children,0
52,1740,60000,"education,culture,public space",251,"Ogólnodostępne stoły do gry w szachy,","children,youth,adults,people with disabilities",0
53,1378,400000,"environmental protection,public space",242,"Doświetlenie osiedla Praga I. Uporządkowanie podwórka przy ul. Świętych Cyryla i Metodego 1, Kameralna 1a, Targowa 81.",None,0
54,498,60000,"education,public space",236,Multimedialna Biblioteka na Szmulkach,"children,youth,adults,seniors",0
55,1183,95000,"culture,public space",226,Praski Festiwal Bluesa,"children,youth,adults,seniors,people with disabilities",0
56,170,153300,"public transit and roads,public space",216,"Naprawa nawierzchni odcinka ciągu pieszo rowerowego przy alei Solidarności, wzdłuż posesji Wileńska 16","children,youth,adults,seniors",0
57,924,26900,"education,environmental protection",208,Jak i czym - kampania dotycząca dokarmiania ptaków zimą - kontynuacja,"children,people with disabilities",0
58,1682,55000,"education,environmental protection",207,Spotkaj literaturę na Pradze,"children,youth,adults,seniors,people with disabilities",0
59,478,90000,culture,200,"Biblioteka odNowa - zakup nowych regałów do Wypożyczalni dla Dorosłych i Młodzieży nr 56, ul. Inżynierska 10","children,youth,adults,seniors",0
60,1193,18000,"education,culture,sport",186,Tańczyć każdy może - nauka tańca dla dzieci i dorosłych,"children,adults",0
61,1597,150000,"education,public space",165,Słupy informacyjne i tablice - dla Pragi,"children,adults,seniors",0
62,1087,68800,sport,165,Siłownia plenerowa Al. Tysiąclecia 151,"children,youth,adults",0
63,1481,8000,culture,148,Biblioteka - Twoją strefą komfortu,"youth,adults,seniors,people with disabilities",0
64,184,31000,education,145,MUSICON-innowacja w muzykoterapii i terapii pedagogicznej,"children,youth,people with disabilities",0
65,1023,86000,"culture,public space",143,Biblioteka dla Ciebie – Nowa aranżacja wnętrza Biblioteki nr 101 przy ul. Ząbkowskiej,"adults,seniors,people with disabilities,students",0
66,1768,53500,"education,environmental protection,public space",129,Spacery dendrologiczne na Pradze - dla Pragi,"children,youth,adults,seniors,people with disabilities",0
67,1751,63500,"education,environmental protection,public space",119,Poznaj florę Pragi - dla Pragi,"children,youth,adults,seniors,people with disabilities",0
68,523,130000,"education,culture,public space",115,Nowoczesne wnętrze Biblioteki na Golędzinowie.,"children,youth,adults,seniors,people with disabilities",0
