0,project_id,cost,category,votes,name,target,selected
1,1840,663500,"environmental protection,public space,urban greenery",4446,"Pokonamy smog zielenią - nowe drzewa, krzewy i kwiaty dla Pragi-Południe","children,youth,adults,seniors,people with disabilities",1
2,735,895550,"public transit and roads,environmental protection,public space",3502,Trasa rowerowa od Grochowskiej do Waszyngtona,"children,youth,adults,seniors",1
3,1104,47000,environmental protection,2986,Chronimy ptaki żyjące na Pradze Południe - utrzymanie i konserwacja skrzynek lęgowych,adults,1
4,1951,30000,"public transit and roads,environmental protection,public space",2981,Uwaga jeże,"children,youth,adults,seniors,people with disabilities",1
5,106,300000,public space,2936,Tężnia solna nad Balatonem,"children,youth,adults,seniors,people with disabilities,families with children",1
6,1065,710000,"public space,urban greenery",2867,Wielkie grochowskie rozpłytowanie - zieleń zamiast betonu na naszych ulicach i podwórkach,"children,youth,adults,seniors,people with disabilities",1
7,1908,300000,"environmental protection,public space,urban greenery",2805,Ekologiczna ochrona zachodniej części Parku Skaryszewskiego przed hałasem i zanieczyszczeniem powietrza poprzez posadzenie pasa krzewów wzdłuż Alei Zielenieckiej.,"children,youth,adults,seniors,people with disabilities",1
8,790,911700,"public space,urban greenery",2526,Alejki w Parku Skaryszewskim - kontynuacja więcej zieleni i wygodna nawierzchnia,"children,adults",1
9,1957,12500,"environmental protection,public space,urban greenery",2473,Budki lęgowe dla drobnych ptaków owadożernych - przeciw komarom i innym uciążliwym owadom,"children,youth,adults,seniors,people with disabilities",1
10,33,1100000,"environmental protection,public space,sport",2431,"Park dla aktywnych. Drzewa, alejki i ławki. Pumptrack dla rowerów, hulajnóg i rolek. Ścieżka zdrowia, street workout. Zielony Gocław i Grochów","children,youth,adults,seniors,people with disabilities",1
11,433,95000,"environmental protection,public space,urban greenery",2135,"Nie chcesz mieć szczurów? Zadbaj o koty! – Dokarmianie, leczenie i sterylizacja kotów wolno żyjących z Pragi - Południe oraz zakup/wykonanie zimowych budek z Pragi. Kontynuacja projektów z poprzednich edycji Budżetu",animals,1
12,748,700000,"environmental protection,public space,urban greenery",2026,Kamionkowskie Błonia Elekcyjne: Modernizacja skwerku i alejek przy Kanale Wystawowym,"children,youth,adults,seniors,people with disabilities",1
13,1075,81000,"public transit and roads,environmental protection,public space",1984,Stojaki rowerowe - na podwórkach oraz w pobliżu miejsc handlu i usług,"children,youth,adults,seniors",1
14,80,400000,"environmental protection,welfare,public space",1929,Tężnia solna na Pradze Południe,"children,youth,adults,seniors,people with disabilities",1
15,1066,1328169,"public transit and roads,public space",1767,Dość potykania się - nowe chodniki i remonty chodników na Grochowie i Saskiej Kępie,"children,youth,adults,seniors,people with disabilities",0
16,733,1291640,public transit and roads,1766,Remont nawierzchni ulicy Mińskiej + droga rowerowa,"children,youth,adults,seniors,people with disabilities",0
17,843,179925,"public space,urban greenery",1754,Wiosenne łączki roślin cebulowych na całej Pradze Południe,None,1
18,1072,660000,"education,culture,environmental protection",1732,"Zielone skwery na Pradze-Południe - Mini puszcza Białowieska, Skwer Trzech Pokoleń -Walewska Suchodolska, Ogród przy bibliotece przy Meksykańskiej","children,youth,adults,seniors,people with disabilities,youth",0
19,73,469200,"culture,public space",1642,Letnie wydarzenia kulturalne na Pradze-Południe,"children,youth,adults,seniors,people with disabilities",0
20,1489,135000,"environmental protection,public space,urban greenery",1639,Park kieszonkowy przy skrzyżowaniu Fieldorfa i Bora,"children,youth,adults,seniors,people with disabilities",1
21,665,270840,"environmental protection,public space,urban greenery",1567,Zielony Kamionek,"children,youth,adults,seniors,people with disabilities",0
22,489,106800,"education,culture,public space",1549,"Ratujemy rzeźby plenerowe na Gocławiu, Grochowie i Saskiej Kępie","children,youth,adults,seniors,people with disabilities",0
23,1140,98000,"education,culture",1509,Miejsce na pikniki letnie. Park angielski. Gocław,"children,youth,adults,seniors,people with disabilities",0
24,107,300000,public space,1502,Tężnia solna w Parku Angielskim na Gocławiu,"children,youth,adults,seniors,people with disabilities,families with children",0
25,877,1025000,urban greenery,1471,Park miejski Nowa Ulga,"children,youth,adults,seniors,people with disabilities,animals",0
26,1286,265000,urban greenery,1454,"Zamknięty, bezpieczny psi wybieg przy Jeziorku Gocławskim",None,0
27,806,928000,sport,1451,Super mega place zabaw na Gocławku i Gocławiu,children,0
28,1113,30000,environmental protection,1446,Zimowe dokarmianie ptactwa i wiewiórek w parkach Pragi Południe,adults,1
29,28,120000,"environmental protection,public space,urban greenery",1441,Nowa łąka na Kamionkowskich Polach Elekcyjnych - rozbiórka nieruchomości,"children,youth,adults,seniors,people with disabilities",0
30,1393,1120000,"public transit and roads,public space",1414,Dość brodzenia w błocie. Rowerowe i piesze połączenie między Grochowską a Rodziewiczówny oraz Dęblińską a Witolińską,None,0
31,1292,279000,"education,culture,public space",1386,Zakup nowości książkowych i audiobooków dla bibliotek na Pradze-Południe,"children,youth,adults,seniors,people with disabilities",0
32,1421,49600,"education,environmental protection,welfare",1354,Targ dla mieszkańców na Placu Szembeka,"children,youth,adults,seniors,people with disabilities",1
33,846,216700,"public transit and roads,environmental protection,public space",1349,Bezpieczniej i zielono przy Afrykańskiej – dokończenie chodnika i nasadzenia zieleni,"children,youth,adults,seniors,people with disabilities",0
34,746,180000,"public space,sport",1297,Siłownia zewnętrzna dla osób z niepełnosprawnością na Pradze Południe,people with disabilities,0
35,1308,1065000,"education,public space,sport",1290,"Modernizacja skweru przy Majdańskiej - nowa paraboliczna ścianka do tenisa, większy plac zabaw dla dzieci starszych, automatyczna toaleta, zieleń oraz inne udogodnienia","children,youth,adults,seniors,people with disabilities",0
36,34,680000,"education,public space,sport",1223,Skwer Rodzinny na Gocławiu_etap2 zieleń i sport,"children,youth,adults,seniors,people with disabilities",0
37,727,1281764,public transit and roads,1175,Remont nawierzchni ulicy Terespolskiej + droga rowerowa,"children,youth,adults,seniors,people with disabilities",0
38,1978,12000,"public transit and roads,environmental protection,public space",1131,Odtworzenie szpaleru drzew - zastępcze nasadzenia,"children,youth,adults,seniors,people with disabilities",0
39,1172,25450,"environmental protection,public space,urban greenery",1120,ZielonoMi - dogrywka! - uzupełnienie nasadzeń,"children,youth,adults,seniors,people with disabilities",0
40,1965,130000,"public transit and roads,environmental protection,public space",1073,Czysty i zielony Grochów - rewitalizacja żywopłotów oraz montaż estetycznych koszy na śmieci,"children,youth,adults,seniors,people with disabilities",0
41,88,40000,"culture,public space",1038,Neonowy napis promujący dzielnicę Praga Południe,"children,youth,adults,seniors,people with disabilities",0
42,368,850000,"education,environmental protection,public space",1014,Wybieg dla psów oraz mini plac zabaw - skwer ul. Terespolska/Mińska,"children,youth,adults,seniors,people with disabilities",0
43,1420,94900,"education,culture",1004,Uniwersytet Dziecięcy na Pradze Południe,"children,youth,adults,seniors,people with disabilities",0
44,833,1328000,"public transit and roads,environmental protection,public space",1002,Rewitalizacja terenów wewnętrznych w rejonie Siennickiej i Podskarbińskiej,"children,youth,adults,seniors,people with disabilities",0
45,1513,556950,"public transit and roads,public space",945,"Ulica Chrzanowskiego bezpieczna dla pieszych, przyjazna dla rowerzystów","children,youth,adults,seniors,people with disabilities",0
46,1396,685000,"public space,sport,urban greenery",936,"Jordanek na nowo. Budowa boiska, oświetlenia placu zabaw oraz montaż nowych zabawek","children,youth,adults",0
47,1319,230000,"public transit and roads,public space",918,Gocław rejon Rechniewskiego 9 i 9a - remonty chodników oraz budowa nowoczesnego oświetlenia typu LED.,"children,youth,adults,seniors,people with disabilities",0
48,615,164700,"education,public space,sport",861,Z Górki na pazurki - modernizacja i remont górki oraz tarasu na budynku OPP2 Jordanek na Nobla,"children,youth,adults,seniors,people with disabilities",0
49,1122,700000,"education,public space,sport",855,Na Paca sportowo na nowo - kompleksowa modernizacja boiska i ogrodu,"children,youth,adults,seniors,people with disabilities",0
50,964,158000,"education,culture,public space",836,Książkomat na Gocławiu – dostęp do książek 24/7,"children,youth,adults,seniors,people with disabilities",0
51,1011,561000,"education,environmental protection,public space",830,Pole do mini golfa,"children,youth,adults,seniors,people with disabilities",0
52,35,80000,"public transit and roads,public space,urban greenery",766,Bezpieczny Gocław latarnie na ul. Brygady Pościgowej odcinek od ul. Kwiatkowskiego do sklepu Biedronka,"children,youth,adults,seniors,people with disabilities",0
53,1303,383000,"education,public space,sport",743,„Jordanek – gramy w kosza” - boisko wielofunkcyjne,"children,youth,adults,seniors",0
54,1110,1328000,"education,culture,public space",741,Boisko przy Boremlowskiej,"children,youth,people with disabilities",0
55,431,22000,"education,culture",720,Zakup nowości książkowych dla Wypożyczalni Nr 92 i Biblioteki dla dzieci Nr 42,"children,youth,adults,seniors,people with disabilities",0
56,918,80000,sport,710,Sportowy plac zabaw na Stadionie Podskarbińska - w ramach projektu Sport dla Każdego,"children,people with disabilities",0
57,1469,138720,"environmental protection,public space,urban greenery",683,Jugosłowiańska w kwiatach,"children,youth,adults,seniors,people with disabilities",0
58,1602,385000,"education,culture,public space",681,Muzyczny plac zabaw i siłownia plenerowa ze strefą relaksu przy Szkole Podstawowej nr.60 ul. Zbaraska 3,"children,youth,adults,seniors,people with disabilities",0
59,1511,103925,"public transit and roads,public space,urban greenery",660,Nowe drzewa i remont chodnika na ul.Przeworskiej,"children,youth,adults,seniors,people with disabilities",0
60,967,420000,"education,welfare,sport",642,Profesjonalna ściana do tenisa ziemnego dostępna dla wszystkich,"children,youth,adults,seniors,people with disabilities",0
61,914,136000,sport,610,Siłownia dla osób niepełnosprawnych na Stadionie Podskarbińska - w ramach projektu Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
62,528,150000,"education,public space,sport",608,Drążki do podciągania park do street workout'u - Wał Miedzeszyński Marokańska Sosabowskiego,"children,youth,adults,seniors",0
63,884,200000,sport,599,Modernizacja oświetlenia na Stadionie Podskarbińska - w ramach projektu Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
64,1218,113500,"education,culture,public space",596,Faun na delfinie - przywrócenie rzeźby-zdroju Jana Biernackiego na placu zabaw w Parku Skaryszewskim im. Ignacego Jana Paderewskiego,"children,youth,adults,seniors,people with disabilities",0
65,469,20000,"education,culture",589,Zakup nowości książkowych do Wypożyczalni nr 40 i Biblioteki dla Dzieci nr 47,"children,youth,adults,seniors,people with disabilities",0
66,232,120000,public transit and roads,583,Aktywne przejścia dla pieszych przy SP nr 246 ul. Białowieska,"children,youth",0
67,361,15000,"education,culture",579,Zakup nowości książkowych do wypożyczalni dla dorosłych i młodzieży nr.89 ul. Grochowska 202,"children,youth,adults,seniors,people with disabilities",0
68,570,445720,"education,public space,sport",561,Ferajniak - praskie podwórko „Od juniora do seniora” przestrzeń rekreacyjno-sportowo-terapeutyczna służąca mieszkańcom w każdym wieku.,"children,youth,adults,seniors,people with disabilities",0
69,282,20000,"education,culture",547,Wyrównujemy szanse – zakup książek z dużym drukiem do Wypożyczalni dla Dorosłych i Młodzieży nr 78,"adults,seniors",0
70,1584,239450,"education,culture,public space",545,Izba Tradycji Grochowa,"children,youth,adults,seniors,people with disabilities",0
71,676,73300,"education,environmental protection,urban greenery",541,Eko-klocki – doposażenie placu zabaw i przyległych terenów zielonych,"children,youth,adults,seniors,people with disabilities",0
72,434,1123516,public transit and roads,530,"Remont drogi osiedlowej - Ul. I Praskiego Pułku, Ul. Świętosławska, Ul. Ramowa","children,youth,adults,seniors,people with disabilities",0
73,905,130000,sport,517,Strefa Street Workout na Stadionie Podskarbińska - w ramach projekt Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
74,1364,1072000,"education,public space,sport",500,Sportowa odnowa - boisko przy SP 60 w Warszawie,"children,youth,adults,seniors,people with disabilities",0
75,432,15000,"education,culture",496,Zakup nowości dla Wypożyczalni Nr 19 oraz Biblioteki dla dzieci i młodzieży Nr 2,"children,youth,adults,seniors,people with disabilities",0
76,761,700000,"public space,sport",480,Modernizacja boiska przy Szkole Podstawowej nr 312 im. Ewy Szelburg-Zarembiny,"youth,adults",0
77,449,380000,"public transit and roads,public space,sport",474,Zielone podwórka Igańska 3 i Białowieska 19,"children,youth,adults,seniors,people with disabilities",0
78,479,94300,"education,public space,sport",463,Ogrodzenie i nowa nawierzchnia wokół ścianki wspinaczkowej przy Szkole Podstawowej nr 246 w Warszawie,"children,youth,adults",0
79,352,20000,"education,culture",456,Zakup nowości wydawniczych - Biblioteka dla Dzieci i Młodzieży nr 67/ Wypożyczalnia dla Dorosłych i Młodzieży nr 110,"children,youth,adults,seniors",0
80,283,30000,"education,culture",441,Wzbogacenie księgozbioru Wypożyczalni dla Dorosłych i Młodzieży nr 78,"children,youth,adults",0
81,756,95250,"public space,sport",426,Soho regeneracja górki,"children,youth,people with disabilities",0
82,280,12000,"education,public transit and roads",412,Zakup książek-nowości dla wypożyczalni nr 3,"youth,adults,seniors,people with disabilities",0
83,85,1321000,"public space,sport",402,Boisko do piłki nożnej przy Żłobku nr 61 ul. Jana Nowaka-Jeziorańskiego,"children,youth,adults",0
84,1896,100000,public space,379,Ułóżmy wielki napis Kocham Grochów,"children,youth,adults,seniors,people with disabilities",0
85,840,60000,sport,372,Oświetlenie bocznego boiska na Stadionie Podskarbińska - w ramach projektu Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
86,309,14000,"education,culture",371,"Zakup nowości książkowych do Wypożyczalni nr 24, Grochowska 279","children,youth,adults,seniors",0
87,1086,120000,"environmental protection,sport,urban greenery",367,Trampoliny ziemne dla dzieci na terenie zielonym -Żupnicza róg Bliskiej nr obrębu 30205 Działka 3,"children,youth,adults,seniors",0
88,470,10000,"education,culture",295,Spotkania varsavianistyczne i autorskie dla dzieci i młodzieży,"children,youth,adults,seniors,people with disabilities",0
89,1961,5000,"public transit and roads,environmental protection,public space",295,Posadzenie drzew i krzewów na trawniku przy parkingu przed budynkiem przy ul. Sygietyńskiego 8,"children,youth,adults,seniors,people with disabilities",0
90,1742,26200,education,292,Oswajamy stres - warsztat o samoregulacji,"youth,adults",0
91,1240,185000,"education,culture,public space",288,Biblioteka dla grafika komputerowego,"children,youth,adults,seniors,people with disabilities",0
92,384,135000,public space,258,Nowy plac zabaw przy Brazylijskiej 22a,"children,adults,seniors",0
93,1984,40000,"public transit and roads,environmental protection,public space",214,4 latarnie na przedłużeniu ul. Sygietyńskiego w stronę ul. Kinowej,"children,youth,adults,seniors,people with disabilities",0
94,1108,80192,public transit and roads,206,Bezpieczna Karczewska,"children,youth,adults,seniors",0
95,443,10000,"education,culture",181,Literackie Spotkania w Bibliotece,"children,youth,adults",0
96,1946,149667,"public transit and roads,environmental protection,public space",171,Zielone miejsca postojowe przy ul. Sygietyńskiego 8,"children,youth,adults,seniors,people with disabilities",0
