0,project_id,cost,category,votes,name,target,selected
51,1181,6800,"education,culture",93,Warsztaty plecionkarskie w Domu Kultury Wygoda,"children,youth,adults,seniors,people with disabilities",0
52,1185,6100,"education,culture",92,Familijne warsztaty bębniarskie w Domu Kultury Wygoda,"children,youth,adults,seniors,people with disabilities",0
53,925,16500,"welfare,public space",91,Ławki do karmienia oraz przewijania dzieci na placach zabaw Rembertowa (Nowy Rembertów),"children,adults,people with disabilities",0
54,2128,10000,"education,culture",90,Rembertowska gitarownia,"children,youth,adults,seniors",0
55,2138,6000,"education,welfare",84,Kulinarne warsztaty międzypokoleniowe,"children,youth,adults,seniors",0
56,1991,48500,"education,culture,sport",79,Festiwal sztuk walki,"children,youth,adults",0
57,2052,8100,"education,culture",78,Warsztaty dla taty,"children,youth,adults",0
58,2048,27200,"education,culture",70,Młodzież pisze książki,youth,0
59,2141,5000,"culture,welfare",68,Materiały i narzędzia do decoupage’u i zajęcia plastyczne dla Rembertowskiej Akademii Seniora (RAS),"children,seniors",0
60,1300,10000,"education,culture",67,Warsztaty kulinarne dla każdego,"children,youth,adults,seniors",0
61,1976,11000,"education,culture",66,Warsztaty Zrób i ugotuj,"children,youth,adults",0
62,2057,6100,"education,culture",66,Warsztaty dla mamy,"children,youth,adults",0
63,2126,50000,"public transit and roads,public space",64,Świąteczne iluminacje na rondzie Granzowa,"children,youth,adults,seniors,people with disabilities",0
64,2120,24100,"education,culture",62,"Małe i duże kulinarne podróże, czyli spotkania w kuchni z podróżnikami i artystami w Domu Kultury „Rembertów”","children,youth,adults,seniors,people with disabilities",0
65,2030,20000,"education,sport",44,Warsztaty dla przyszłych animatorów wolnego czasu,adults,0
66,1217,50000,"education,culture",39,Ebooki - zeszyty historyczne w nowoczesnej odsłonie,"children,youth,adults,seniors,people with disabilities",0
