0,project_id,cost,category,votes,name,target,selected
1,176,98000,"public transit and roads,public space",1916,Stojaki rowerowe na ulicach Ochoty,"children,youth,adults",1
2,212,50000,"environmental protection,public space,urban greenery",1697,Poszerzenie parku Szczęśliwickiego poprzez wyburzenie nieużywanych szaletów,"children,youth,adults,seniors,people with disabilities",1
3,186,336750,"environmental protection,urban greenery",1656,Nasadzenia drzew i krzewów na ulicy Szczęśliwickiej,"children,youth,adults",1
4,138,60000,"public transit and roads,public space,urban greenery",1607,Posadzenie krzewów przyjaznych małym ptakom,"children,youth,adults,seniors,people with disabilities",1
5,91,430000,"public space,urban greenery",1565,Wymiana ławek w Parku Szczęśliwickim,"children,youth,adults,seniors",1
6,1144,150000,culture,1558,Zakup nowych zbiorów do bibliotek ochockich,"children,youth,adults,seniors,people with disabilities",1
7,681,40500,environmental protection,1327,Zimowe dokarmianie ptactwa w parkach Ochoty,adults,1
8,448,42000,urban greenery,1238,Trawniki ekologiczne na Dickensa,"children,adults,seniors",1
9,175,100000,"public space,urban greenery",1216,Monitoring w Parku Zachodnim,"children,youth,adults,seniors",1
10,1423,60000,"environmental protection,public space",1192,Nowe nasadzenia na Rakowcu,None,1
11,2095,62000,"public transit and roads,public space",1192,Remont chodników i nawierzchni w parku Korotyńskiego,"children,youth,adults,seniors,people with disabilities",1
12,1978,130000,"public transit and roads,environmental protection,public space",1081,"Brakujące odcinki chodników na Starej Ochocie (Szczęśliwicka, Winnicka, Pasteura, Banacha)","children,youth,adults,seniors,people with disabilities",1
13,1393,20000,"public transit and roads,public space",1072,Nowe nasadzenia na Rakowcu żywopłoty zamiast słupków,None,1
14,1040,122500,"public space,urban greenery",1055,Zielona Włodarzewska,"children,youth,adults,seniors,people with disabilities",1
15,335,260000,"education,public space",1005,Rodzinny ogród zmysłów Na Fortach Korotyńskiego,"children,people with disabilities",1
16,1450,168000,"education,culture",992,Książkomat dla Ochockich Bibliotek,"children,youth,adults,seniors,people with disabilities",1
17,130,73100,"culture,public space",939,Mural - Ochota jak ze snów,"children,youth,adults,seniors,people with disabilities",1
18,243,400000,"education,public space,sport",895,Ścieżka biegowa na Polach Mokotowskich,"children,youth,adults,seniors",1
19,490,398000,"public transit and roads,public space,sport",874,Remont chodnika na ul. Żwirki i Wigury,"children,youth,adults",0
20,658,130000,"education,environmental protection,public space",854,"Zazieleniamy ochockie parkany - przy Szkole nr 61, OSiR Ochota oraz utworzenie zielonej ściany na budynku MDK od strony Szczęśliwicka / Białobrzeska, Rokosowska/","children,youth,adults,seniors,people with disabilities",1
21,1767,15000,sport,850,Joga na Ochocie,"children,youth,adults,seniors,people with disabilities",0
22,188,70000,"public transit and roads,public space,urban greenery",836,Bezpieczne chodniki,"children,youth,adults,seniors,people with disabilities",0
23,462,121000,"public transit and roads,public space",793,Przedwojenne latarnie na Mochnackiego,"children,youth,adults,seniors,people with disabilities",0
24,1508,150000,"environmental protection,public space,urban greenery",793,Eko podwórko Racławicka 156 - pierwsze podwórko z antysmogowym chodnikiem na Ochocie,"children,youth,adults,seniors,people with disabilities",0
25,1513,29000,"education,culture",784,Kino letnie na Baśniówce,"children,youth,adults,seniors,people with disabilities",0
