0,project_id,cost,category,votes,name,target,selected
1,1699,880000,environmental protection,2834,Ursynowska ekologia - butelkomaty,"children,youth,adults,seniors,people with disabilities",1
2,1469,453200,"public space,urban greenery",2743,Upiększamy park pod Kopą Cwila,"children,youth,adults,seniors,people with disabilities",1
3,1947,576800,"environmental protection,public space,urban greenery",2702,Zielone skwery na Ursynowie (kontynuacja),"children,youth,adults,seniors,people with disabilities",1
4,224,717200,"public transit and roads,environmental protection,public space",2550,Zieleń zamiast betonu,"youth,adults,seniors",1
5,392,17780,"environmental protection,public space,urban greenery",2345,Kwiaty i ozdobne antysmogowe krzewy dla Ursynowa - niczym mała Holandia - w drodze do szkoły - pracy - domu z myślą o wszystkich mieszkańcach,"children,youth,adults,seniors,people with disabilities",1
6,782,35000,"environmental protection,urban greenery",2271,"Piękne rośliny na ulicach Ursynowa, chroniące przed smogiem i hałasem","children,youth,adults,seniors,people with disabilities,animals",1
7,954,578900,"public transit and roads,environmental protection,public space",2211,"105 drzew, 1400 m2 krzewów i 1 ogród deszczowy przy ul. Rosoła","children,youth,adults,seniors,people with disabilities",1
8,955,214500,"environmental protection,public space,urban greenery",2163,Dbamy o ursynowskie drzewa - podlewanie,"children,youth,adults,seniors,people with disabilities",1
9,911,418000,"public transit and roads,public space,sport",2093,Wygodniej rowerem przez Ursynów - zadaszone stojaki przy metrze i podpórki rowerowe przy skrzyżowaniach,"children,youth,adults,seniors",1
10,1687,61000,"environmental protection,public space,urban greenery",2075,Zadbany skwer zamiast rozdeptanego trawnika (róg al. KEN i ul. Przy Bażantarni),"children,youth,adults,seniors,people with disabilities",0
11,459,960200,"public transit and roads,public space,urban greenery",1950,Zielony plac miejski przy wyjściu z metra Kabaty (w stronę Tesco),"children,youth,adults,seniors,people with disabilities",0
12,2150,990000,"public space,sport",1923,Jurajski Plac Zabaw – niech dinozaury dalej cieszą dzieci. Modernizacja nawierzchni placu zabaw,children,1
13,1821,440500,sport,1923,Lodowisko na Ursynowie (sezonowe i darmowe),"children,youth,adults,seniors",0
14,976,78152,"public space,urban greenery",1916,Labirynt z żywopłotu,"children,youth,adults,seniors",1
15,1048,950000,"public transit and roads,public space",1893,Doświetlenie przejść dla pieszych na Ursynowie,"children,youth,adults,seniors,people with disabilities",0
16,2223,365500,sport,1806,Lodowisko na Natolinie,None,0
17,357,140400,"public space,urban greenery",1786,Poprawa bezpieczeństwa w Parku Przy Bażantarni - monitoring,"children,youth,adults,seniors,people with disabilities",0
18,817,323000,"public transit and roads,public space,sport",1733,Modernizacja drogi rowerowej pod wiaduktem ul. Dolina Służewiecka oraz w północnej części Parku im. Romana Kozłowskiego,"children,youth,adults,seniors",0
19,1402,190000,"public transit and roads,environmental protection,public space",1701,"Łączymy parki: Olkówek, Jurajski, Romana Kozłowskiego - Enklawa Zacisze","children,youth,adults,seniors,people with disabilities",0
20,879,126000,education,1633,Kurs pierwszej pomocy dla uczniów publicznych szkół podstawowych na Ursynowie,"children,youth",0
21,2165,200892,environmental protection,1626,Miejski punkt zbiórki drobnych elektroodpadów,"children,youth,adults,seniors,people with disabilities",0
22,35,90000,public space,1593,Doświetlenie Ursynowa w nocy - Kabaty,"children,youth,adults,seniors,people with disabilities",0
23,1013,145000,"education,public transit and roads,culture",1580,Mural Ursynów w pigułce,"children,youth,adults,seniors,people with disabilities",0
24,364,936690,"education,culture,public space",1553,"Bezpłatne lodowiska i górki śnieżne w czasie zimy i lata - z bezpłatnym wypożyczaniem łyżew, sprzętu do nauki jazdy na łyżwach, sankach dla całych rodzin","children,youth,adults",0
25,1471,42900,"public transit and roads,public space,urban greenery",1503,"Posadzenie szpalerów grabowych, pomiędzy ul. Rosoła, a ciągiem pieszym i ścieżką rowerową po jej wschodniej stronie pomiędzy ul. Nowoursynowską i Lidlem (na działce 5/2 z obrębu 1-11-17)","children,youth,adults,seniors,people with disabilities",0
26,439,996180,"environmental protection,public space,urban greenery",1450,Nowy skwer i fontanna koło domu kultury - Zielona Oś Ursynowa,"youth,adults,seniors",0
27,1156,220000,"education,culture",1447,Muzyczne niedziele - koncerty muzyki klasycznej w plenerze,"children,youth,adults,seniors,people with disabilities",0
28,367,60959,"environmental protection,public space,sport",1306,Ekologiczne kurtyny mgiełkowe na terenach szkolnych i miejscach rekreacji,"children,youth,adults,seniors,people with disabilities",0
29,1005,100000,public space,1305,Podświetlany napis Ursynów - miejsce charakterystyczne dzielnicy,"children,youth,adults,seniors,people with disabilities",0
30,341,71400,public space,1283,"Niedzielne Targi Zdrowej Żywności na parkingu przy Ratuszu Dzielnicy (wiosna, lato, jesień) - kontynuacja","children,youth,adults,seniors,people with disabilities",0
31,1051,38070,"environmental protection,public space",1265,Powiększenie miejskiego placu zabaw wśród zieleni przy stacji metra Imielin,"children,adults",0
32,2003,449000,education,1257,Bezpieczne otoczenie szkół i przedszkoli - monitoring,None,0
