0,project_id,cost,category,votes,name,target,selected
41,1598,1030000,"education,public transit and roads,public space",991,Bezpieczna droga do szkoły - modernizacja ciągu pieszo-jezdnego ulicy Rogalskiego oraz poszerzenie łącznika pieszego z ulicą Jana Nowaka Jeziorańskiego o ścieżkę rowerową,"children,youth,adults,seniors,people with disabilities",0
42,1719,136000,sport,949,Siłownia dla osób niepełnosprawnych - w ramach projektu Sport dla Każdego na Stadionie Podskarbińska,"children,youth,adults,seniors,people with disabilities",0
43,1637,480000,"environmental protection,public space,urban greenery",944,Trzy Parki Kieszonkowe,"children,youth,adults,seniors,people with disabilities",0
44,317,720000,"public space,urban greenery",941,"Rewitalizacja podwórka Dwernickiego, Wiatraczna, Chrzanowskiego, Mycielskiego","children,youth,adults,seniors,people with disabilities",0
45,1327,200000,"public transit and roads,sport",926,Modernizacja oświetlenia na Stadionie Podskarbińska - w ramach projektu Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
46,1565,100000,"education,culture,public space",921,Nowoczesna biblioteka. Zakup 25 komputerów do bibliotek na Pradze-Południe,"children,youth,adults,seniors,people with disabilities",0
47,1654,135000,"environmental protection,public space,urban greenery",920,Skwer przy Domu Kultury Prom - kontynuacja projektu,"children,youth,adults,seniors,people with disabilities",0
48,1463,65000,"education,culture",908,Zajęcia dla dzieci i opiekunów w PROMie Kultury,"children,adults,seniors",0
49,1830,130000,sport,906,Strefa Street workout - w ramach Sport dla Każdego,"children,youth,adults,seniors,people with disabilities",0
50,766,341800,"education,public space,sport",894,Modernizacja boiska do piłki nożnej przy Szkole Podstawowej nr 168 im. Czesława Niemena w Warszawie przy ul. Zwycięzców 44 w dzielnicy Praga Południe,"children,youth,adults,seniors,people with disabilities",0
51,2066,110000,"education,culture,public space",870,Faun na delfinie- przywrócenie zdroju-rzeźby Jana Biernackiego na placu zabaw w Parku Skaryszewskim im. J. J. Paderewskiego,"children,youth,adults,seniors,people with disabilities",0
52,2007,47000,"education,welfare,sport",869,"Zmień Formę walka z nadwagą i otyłością u dzieci, młodzieży i dorosłych","children,youth,adults,seniors,people with disabilities",0
53,1140,800000,"education,public space,sport",802,Nowoczesny Kompleks Sportowy w SP 72,"children,youth,adults,seniors,people with disabilities",0
54,1690,80000,sport,798,Sportowy plac zabaw - w ramach projektu Sport dla Każdego na Stadionie Podskarbińska,"children,people with disabilities",0
55,1679,53400,"education,public transit and roads,culture",790,Animacyjnie na Pradze Południe,"children,youth,adults,seniors",0
56,1659,45480,sport,789,Lekkoatletyka - w ramach projektu Sport dla Każdego na Stadionie Podskarbińska,"children,youth,adults,seniors,people with disabilities",0
57,1587,445000,"environmental protection,public space,urban greenery",788,"Zielone podwórka na Grochowie - ul. Darłowska, ul. Grenadierów, ul. Białowieska","children,youth,adults,seniors,people with disabilities",0
58,737,8880,sport,777,Aktywne soboty w Parku Skaryszewskim,"youth,adults,seniors",0
59,1590,370000,"environmental protection,public space,urban greenery",771,Skwerek przy Majdańskiej- budowa automatycznej toalety miejskiej,"children,youth,adults,seniors,people with disabilities",0
60,1103,103428,public transit and roads,754,Remont chodnika przy ul. Nowaka Jeziorańskiego i ul. Kwarcianej,"children,youth,adults,seniors,people with disabilities",0
61,1897,91600,"public transit and roads,environmental protection,public space",749,Mini Puszcza Białowieska,"children,youth,adults,seniors,people with disabilities,youth",0
62,2017,51600,sport,719,Akrobatyka dla dzieci i młodzieży - zajęcia rekreacyjno-sportowe,"children,youth",0
