0,project_id,cost,category,votes,name,target,selected
58,871,548300,"education,environmental protection,sport",502,Wymiana sztucznej nawierzchni na boisku piłkarskim przy ul. Na Uboczu 9,"children,youth,adults,seniors,people with disabilities",0
59,1034,150000,"public transit and roads,environmental protection,public space",499,Uporządkujmy teren na przeciwko Kłobuckiej 10,"children,youth,adults,seniors,people with disabilities",0
60,1362,871300,education,489,Bezpłatne zajęcia z Native Speakerem w ursynowskich szkołach dla wszystkich uczniów,"children,youth",0
61,415,22000,"education,welfare,health",483,Bezpłatne kursy pierwszej pomocy,"youth,adults,seniors,people with disabilities",0
62,1366,92000,"education,culture",477,Senior na Ursynowie - bezpłatne zajęcia dla seniorów,seniors,0
63,957,130500,"education,welfare,sport",477,Samoobrona dla dzieci i dorosłych oraz warsztaty przeciwdziałania przemocy rówieśniczej,"children,youth,adults,people with disabilities",0
64,673,67050,"education,public space,sport",472,"Kreatywne strefy gier podwórkowych, jako idea wykorzystania znanych z dawnych czasów zabaw podwórkowych oraz gier planszowych w dużym formacie poprzez przeniesienie ich na chodniki i dzięki temu umożliwienie wspólnych zabaw na świeżym powietrzu przez cały rok bez względu na pogodę","children,youth",0
65,2162,150000,culture,467,Plenerowe potańcówki i karaoke dla wszystkich,"children,youth,adults,seniors,people with disabilities",0
66,1369,260000,culture,451,Koncerty młodzieżowe w ursynowskich domach kultury,"youth,adults",0
67,1082,29100,"public space,sport",445,Ekologiczne kurtyny mgiełkowe na terenach placówek oświatowych,"children,youth,adults",0
68,417,31000,"education,culture,welfare",418,"Komunikacja bez przemocy w ursynowskich szkołach – warsztaty dla dzieci, rodziców i nauczycieli","children,youth,adults,seniors,people with disabilities",0
69,609,55000,"education,culture,environmental protection",415,Sąsiedzki Ogród Społeczny przy Miejscu Aktywności Lokalnej MAL Kłobucka 14,"children,youth,adults,seniors,people with disabilities",0
70,2193,162000,culture,398,Całoroczne potańcówki międzypokoleniowe,"children,youth,adults,seniors,people with disabilities",0
71,1235,35000,education,396,"Prawda, fałsz czy manipulacja? Warsztaty weryfikacji informacji","youth,adults,seniors,people with disabilities",0
72,418,60000,"education,culture",384,Bajki na trawie,"children,youth,adults",0
73,2109,200000,"welfare,public space,sport",372,Komfortowe nawierzchnie siłowni plenerowych i urządzeń street workout na Ursynowie,"children,youth,adults,seniors",0
74,997,12300,"education,culture",356,Tablica upamiętniająca wieś Kabaty,"children,youth,adults,seniors,people with disabilities",0
75,1367,64800,"education,culture",351,Teatrzyki dla dzieci w ursynowskich domach kultury,children,0
76,2129,123000,"education,culture,public space",345,Ursynowska Aleja Rzeźby Sensorycznej,"children,youth,adults,seniors,people with disabilities",0
77,1371,90000,culture,327,Stand-up na Ursynowie,"youth,adults,seniors,people with disabilities",0
78,1888,100000,public space,316,Jasny plac zabaw - doświetlenie i odświeżenie placu zabaw przy Pala Telekiego,children,0
79,1636,14000,"public space,sport,urban greenery",313,Disc golf wśród drzew przy Kopie Cwila - kosz do treningu wśród zieleni,"children,youth,adults,seniors,people with disabilities",0
80,1399,16800,"public space,sport",307,Funkcjonalne stojaki na deskorolki dla szkół wraz z zabezpieczeniem,"children,youth",0
81,872,35600,public space,304,Montaż systemu monitoringu na terenie szkoły Podstawowej nr 336 przy ul. Na Uboczu 9,"children,youth,adults,seniors,people with disabilities",0
82,1182,20500,"education,welfare,health",304,Wsparcie dla rodziców nastolatków,"children,youth,adults,people with disabilities",0
83,1370,62400,"sport,health",302,Zumba dla początkujących - bezpłatne zajęcia dla wszystkich z równoczesnymi zajęciami dla dzieci,"adults,seniors",0
84,1365,51410,"public space,urban greenery",300,Plac zabaw na Kajakowej - doposażenie i modernizacja placu zabaw,"children,youth",0
85,1306,33000,education,294,"Wiem co jem - nauka prawidłowego odżywiania we wszystkich szkołach, wykłady dla dorosłych i seniorów z analizą składu ciała","children,youth,seniors,people with disabilities",0
86,955,40000,public space,287,Montaż systemu oświetlenia solarnego przy boisku szkoły Podstawowej 336 przy ul. Na Uboczu 9,"children,youth,adults,seniors,people with disabilities",0
87,1767,90680,"education,sport",283,Rowerowe ABC przepisów uczę się,"children,youth",0
88,704,40000,"education,culture,environmental protection",282,Kulturalna Kłobucka,"children,youth,adults,seniors,people with disabilities",0
89,1008,35000,public transit and roads,279,Zabezpieczenie przejścia dla pieszych przy szkole na skrzyżowaniu ulic K. Borsuka i Zoltana Balo,"children,youth",0
90,2155,200000,culture,275,Festiwal muzyki HIP-HOP na Ursynowie,"youth,adults",0
