0,project_id,cost,category,votes,name,target,selected
1,705,99000,"environmental protection,public space,urban greenery",1169,Drzewa dla Włoch - edycja trzecia,"children,youth,adults,seniors,people with disabilities",1
2,1832,113000,"environmental protection,public space,urban greenery",956,50 drzew dla Włoch i Okęcia! Więcej nasadzeń,"children,youth,adults,seniors,people with disabilities",1
3,1402,163790,"public transit and roads,public space,urban greenery",794,Zamiana betonowej kostki na zieleń w ciągu ulicy Kleszczowej,None,1
4,1442,234130,"public transit and roads,environmental protection,public space",776,Zielona Aleja - Instalatorów,"children,youth,adults,people with disabilities",1
5,1807,161150,"environmental protection,public space,urban greenery",776,Nasadzenia zieleni przy ul. Dźwigowej.,"children,youth,adults,seniors",1
6,1828,76000,"environmental protection,public space,urban greenery",767,Antysmogowe nasadzenia wzdłuż ul. Świerszcza,"children,youth,adults,seniors",1
7,1702,39000,"education,environmental protection,urban greenery",762,Ratujmy pszczoły- modernizacja społecznej pasieki edukacyjnej Dzielnicy Włochy.,"children,youth,adults,seniors,people with disabilities",1
8,1439,35000,"education,public transit and roads,environmental protection",738,Wieża dla jerzyków na Rakowie,"children,youth,adults,seniors,people with disabilities",1
9,1817,173864,"public transit and roads,public space",710,Chodniki i śmietniki - uzupełniamy brakującą infrastrukturę,"children,youth,adults,seniors",1
10,386,101400,"education,culture",679,Zakup nowości wydawniczych dla bibliotek w Dzielnicy Włochy,"children,youth,adults,seniors,people with disabilities",1
11,401,21000,"environmental protection,public space,urban greenery",661,Łąka kwietna przy Jerozolimskich 204,"children,youth,adults,seniors,people with disabilities",1
12,1438,14455,"education,culture,environmental protection",643,Nakrętkomaty we Włochach,"children,youth,adults,seniors,people with disabilities",1
13,1408,300000,"public space,sport,urban greenery",629,Park dla Okęcia,"children,youth,adults,seniors,people with disabilities",1
14,1563,127100,sport,621,"W zdrowym ciele zdrowy duch - cały rok zajęcia sportowe dla mieszkańców dzielnicy na powietrzu i w salach: callanetics, zdrowy kręgosłup, pilates, joga, gimnastyka dla seniorów, aerobic, boks, aqua fitness, nordic walking, tai chi.","youth,adults,seniors",0
15,1462,249990,"education,culture,welfare",618,Asystent rodzin żyjących z demencją i Alzheimerem we Włochach,"adults,seniors,people with disabilities",0
16,828,142300,"environmental protection,public space,urban greenery",609,Róże w Mieście Ogrodzie Włochy - nasadzenia róż i innych kwitnących krzewów w Starych i Nowych Włochach,"children,youth,adults,seniors,people with disabilities",0
17,1835,160000,"environmental protection,public space,urban greenery",553,"Zielone Włochy! Nasadzenia krzewów w pasach drogowych ul. Obywatelskiej, ul. Kraszewskiego, ul. Piątkowskiej, ul. Szuberta, ul. Rybnickiej, ul. Noteckiej i ul. Michałowskiego.","children,youth,adults",0
18,1591,96000,"culture,public space,urban greenery",549,"Kino letnie w dzielnicy Włochy - boisko przy szkole podstawowej 94 nad Stawami Cietrzewia, boisko w Parku Kotańskiego","adults,seniors,people with disabilities",0
19,1789,11000,"environmental protection,public space",527,Wiewiórka i wróbel - chronimy małych mieszkańców,"children,youth,adults,seniors",1
20,1805,37000,"education,sport,health",509,"Dziewczyny dziewczynom! Warsztaty motywacyjne, asertywność i samoobrona dla kobiet","youth,adults",1
21,1446,5000,"public transit and roads,environmental protection,public space",455,Stojaki rowerowe przy Instalatorów,"children,youth,adults,seniors",1
22,1829,310000,"education,public transit and roads,culture",450,Ratujmy Okęckie zabytki. Uświetnienie terenu Fortu VI - odnowa miejsca pamięci.,"children,youth,adults,seniors,people with disabilities",0
23,1426,76230,"public transit and roads,public space,urban greenery",415,Aranżacja ronda Miasta Ogrodu Włochy,None,0
24,274,55000,"public transit and roads,public space",409,Wybudowanie przejścia dla pieszych przy skrzyżowaniu ul. Globusowej i Nike.,"children,adults,seniors",0
25,1837,38690,"public transit and roads,environmental protection,public space",401,Zieleniec przy ul. Świerszcza,"children,youth,adults,seniors,people with disabilities",0
26,370,271800,"public transit and roads,public space",400,Budowa chodnika przy ul. Krakowiaków,"adults,people with disabilities",0
27,1026,140000,"public transit and roads,environmental protection,public space",399,Radarowe wyświetlacze prędkości we Włochach i na Okęciu,"children,youth,adults,seniors",0
28,1851,210000,public transit and roads,396,Bezpieczny chodnik na ul. Radarowej,"children,youth,adults,seniors,people with disabilities",0
