0,project_id,cost,category,votes,name,target,selected
1,1707,86000,"environmental protection,public space,urban greenery",1609,Drzewa dla Włoch - edycja druga,"children,youth,adults,seniors,people with disabilities",1
2,190,24000,"education,environmental protection,public space",1581,Skrzynki lęgowe dla jerzyków i wróbli we Włochach,"children,youth,adults,seniors,people with disabilities",1
3,1562,21000,"environmental protection,public space",1473,Stop komarom - wieża dla jerzyków.,"children,youth,adults,seniors,people with disabilities",1
4,87,282400,"public transit and roads,public space",1085,Bezpieczny chodnik - Instalatorów,"children,youth,adults,seniors,people with disabilities",1
5,2029,282579,"public space,sport",1083,Prawdziwe lodowisko,"children,youth,adults,seniors",1
6,2035,25000,"education,public transit and roads,public space",1062,Stojaki rowerowe dla Włoch,"children,youth,adults",1
7,606,236000,"public transit and roads,public space,sport",1001,Remont ciągu pieszo-rowerowego na ul. Popularnej,"children,youth,adults,seniors,people with disabilities",1
8,1201,108950,"education,sport,urban greenery",981,"Zdrowo i na sportowo - cały rok zajęcia sportowe dla mieszkańców dzielnicy: callanetics, zdrowy kręgosłup, pilates, joga, gimnastyka dla seniorów, aerobic, boks, aqua fitness, nordic walking","youth,adults,seniors",1
9,1300,96000,"culture,public space",929,Kino letnie we Włochach,"children,youth,adults,seniors,people with disabilities",1
10,1866,282500,"environmental protection,public space,urban greenery",920,Park retencyjny- oczyszczający powietrze z altaną do wypoczynku,"children,youth,adults,seniors,people with disabilities,animals",0
11,1372,100000,"education,culture",837,Zakup nowości wydawniczych dla biblioteki w Dzielnicy Włochy,"children,youth,adults,seniors,people with disabilities",1
12,1553,20000,"education,culture",817,Zakup książek naukowych do Biblioteki Publicznej we Włochach.,"children,youth,adults,seniors,people with disabilities",1
13,2050,38000,"public transit and roads,sport",792,Poręcze z podporą przy przejazdach dla rowerzystów,"youth,adults,seniors",1
14,98,31022,"public space,sport,urban greenery",747,"Posadzenie drzew i krzewów oraz ustawienie ławek, kosza i stojaka na rowery przy ulicy Popularnej 51","children,youth,adults,seniors,people with disabilities",1
